Index,Company,TypeName,Inches,screen_resolution,has_ips_panel,is_touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price
60,Lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i3,2.7,8,SSD,256,0,Intel, HD Graphics 620,N/A,1.7,31915
61,Asus,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.4,50136
62,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,windows,1.9,36763
63,Asus,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,SSD,512,0,Nvidia, GeForce GTX 1050 Ti,windows,1.8,105654
64,HP,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2,4,HDD,500,0,AMD, Radeon 520,windows,1.9,23373
65,HP,Notebook,14,Full HD,0,0,768,1366,Intel,Celeron Dual,1.6,4,SSD,32,0,Intel, HD Graphics 400,windows,1.4,12201
66,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,4,HDD,1024,0,Intel, HD Graphics 620,windows,1.9,29251
67,Asus,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,12,HDD,1024,0,Nvidia, GeForce GTX 1050 Ti,linux,3,50563
68,Microsoft,Ultrabook,13.5,Full HD,0,1,1504,2256,Intel,Core i5,2.5,4,SSD,128,0,Intel, HD Graphics 620,windows,1.3,58022
69,Dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,1.8,64,SSD,256,0,AMD, Radeon 530,windows,1.4,50882
70,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,AMD, Radeon 530,windows,2.2,46354
71,MSI,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,Hybrid,128,1024,Nvidia, GeForce GTX 1050,windows,2.7,58342
72,Acer,Notebook,14,Full HD,0,0,768,1366,Intel,Core i3,2,8,HDD,1024,0,Intel, HD Graphics 520,windows,2.1,20726
73,Asus,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,8,HDD,1024,0,Nvidia, GeForce GTX 1050,windows,2.2,50563
74,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,HDD,2048,0,Intel, HD Graphics 620,N/A,2.2,27652
75,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,Hybrid,128,1024,Intel, UHD Graphics 620,windows,2,45554
76,Acer,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.7,4,HDD,1024,0,Nvidia, GeForce MX130,windows,2.2,28238
77,HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,Hybrid,128,1024,Nvidia, GeForce 930MX,windows,2.5,52055
78,Dell,Ultrabook,15.6,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.9,58403
79,Apple,Ultrabook,12,Full HD,1,0,1440,2304,Intel,Core i5,1.3,8,SSD,512,0,Intel, HD Graphics 615,macos,0.9,80453
80,HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, HD Graphics 620,windows,1.6,45821
81,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,AMD,A6-Series 9220,2.5,4,SSD,128,0,AMD, R4 Graphics,windows,2.2,21259
82,Acer,Notebook,15.6,Full HD,0,0,768,1366,AMD,A9-Series 9420,3,4,HDD,1024,0,AMD, Radeon R5,windows,2.1,21046
83,Dell,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,128,1024,Nvidia, GeForce GTX 1050 Ti,windows,2.7,71875
84,HP,Ultrabook,15.6,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Nvidia, GeForce GTX 940MX,windows,1.8,37243
85,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,windows,2,31914
86,Asus,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,128,1024,Nvidia, GeForce GTX 1060,windows,2.2,77203
87,Dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.2,87859
88,Asus,Gaming,15.6,Full HD,0,0,1080,1920,AMD,FX 9830P,3,8,HDD,1024,0,AMD, Radeon RX 560,windows,2.5,37243
89,Acer,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,2,HDD,1024,0,Nvidia, GeForce MX150,windows,2.2,36710
90,HP,Notebook,13.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,SSD,512,0,Intel, UHD Graphics 620,windows,1.5,63776
91,Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Nvidia, GeForce GTX 1060,windows,2.7,63670
92,Asus,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,Intel, HD Graphics 620,windows,1.3,55891
93,Acer,2 in 1 Convertible,13.3,Full HD,1,1,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.5,45128
94,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,HDD,1024,0,AMD, Radeon R5 M430,linux,2.2,31963
95,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,SSD,256,0,AMD, Radeon R5 M430,linux,2.2,25841
96,Asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.4,6,SSD,256,0,Nvidia, GeForce 920M,windows,2,30743
97,HP,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,12,Hybrid,128,1024,Nvidia, GeForce GTX 1050,windows,2.6,66547
98,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,AMD, Radeon 530,windows,1.9,38308
99,HP,Notebook,15.6,Full HD,0,0,1080,1920,AMD,E-Series E2-9000e,1.5,4,HDD,500,0,AMD, Radeon R2,windows,2.1,18595
100,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,HDD,1024,0,AMD, Radeon 520,linux,2.2,34472
101,HP,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,Nvidia, GeForce MX150,windows,1.4,59620
102,Microsoft,Ultrabook,13.5,Full HD,0,1,1504,2256,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,windows,1.3,71395
103,HP,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i5,2.5,6,SSD,256,0,Nvidia, GeForce 940MX,windows,1.6,35112
104,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,1024,0,Intel, HD Graphics 520,windows,1.9,22106
105,Asus,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,Nvidia, GeForce 940MX,windows,1.3,63563
106,MSI,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia, GeForce GTX 1050 Ti,windows,2.2,69211
107,Lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,Intel, HD Graphics 620,windows,1.6,78854
108,Asus,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,Hybrid,256,1024,Nvidia, GeForce MX150,windows,1.5,67239
109,Dell,Ultrabook,13.3,Quad HD +,0,1,1800,3200,Intel,Core i7,2.4,8,SSD,256,0,Intel, Iris Plus Graphics 640,windows,1.2,73473
110,Lenovo,2 in 1 Convertible,13.3,Full HD,1,1,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,windows,1.4,74539
111,HP,Notebook,14,Full HD,1,0,768,1366,Intel,Core i5,1.6,4,HDD,500,0,Intel, UHD Graphics 620,windows,1.6,38468
112,Dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.2,86793
113,HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,512,0,Intel, UHD Graphics 620,windows,1.6,57756
114,Dell,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,Hybrid,256,1024,Nvidia, GeForce 940MX,windows,2.2,60224
115,Asus,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,1024,0,Nvidia, GeForce 920MX,windows,2,30050
116,Asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Nvidia, GeForce 940MX,windows,1.7,59567
117,Acer,Notebook,15.6,Full HD,1,1,1080,1920,Intel,Core i3,2.4,6,HDD,1024,0,Intel, HD Graphics 620,windows,2.1,25521
118,MSI,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,2048,Nvidia, GeForce GTX 1070,windows,1.8,119427
119,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Nvidia, GeForce 940MX,N/A,2.2,33513
120,HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,SSD,512,0,Nvidia, GeForce 930MX ,windows,2.5,67719
121,Acer,Notebook,15.6,Full HD,0,0,768,1366,AMD,A9-Series 9420,3,4,SSD,256,0,AMD, Radeon R5,windows,2.1,24029
122,HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,HDD,1024,0,Intel, UHD Graphics 620,windows,1.6,43263
123,Asus,Notebook,14,Full HD,0,0,768,1366,AMD,E-Series 6110,1.5,4,SSD,64,0,AMD, Radeon R2,windows,1.7,14811
124,Dell,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,Hybrid,256,2048,AMD, Radeon 530,windows,2.8,74379
125,HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,2.5,49444
126,Dell,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,8,HDD,1024,0,AMD, Radeon R7 M445,windows,2.4,34045
127,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,1024,0,AMD, Radeon R5 M430,windows,2.2,23923
128,Acer,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.6,47100
129,Acer,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.7,4,SSD,256,0,Nvidia, GeForce MX130,windows,7.2,30476
130,HP,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i7,2.7,8,HDD,1024,0,Intel, HD Graphics 620,windows,2.1,31861
131,HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.6,52641
132,Lenovo,Notebook,15.6,Full HD,0,0,768,1366,Intel,Celeron Dual,1.1,4,HDD,1024,0,Intel, HD Graphics 500,N/A,1.9,13446
133,Asus,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,Hybrid,128,1024,Nvidia, GeForce GTX 1050,windows,3,49977
134,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,4,HDD,1024,0,Nvidia, GeForce 920MX,N/A,2.2,26587
135,HP,Notebook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,2.5,4,SSD,256,0,Intel, HD Graphics 620,windows,1.3,37243
136,Acer,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i3,2.7,4,HDD,1024,0,Nvidia, GeForce MX130,windows,3,34898
137,Lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,AMD, Radeon RX 550,windows,1.8,59462
138,Lenovo,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,8,SSD,256,0,Nvidia, GeForce GTX 1050M,N/A,2.4,46300
139,Toshiba,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.3,4,HDD,500,0,Intel, HD Graphics 520,windows,2.1,32075
140,HP,Notebook,15.6,Full HD,0,0,768,1366,AMD,A6-Series 9220,2.5,4,SSD,256,0,AMD, Radeon R4 Graphics,windows,1.9,19660
141,Asus,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.3,58555
142,HP,Ultrabook,12.5,4k Ultra HD,1,1,2160,3840,Intel,Core M,1.2,8,SSD,512,0,Intel, HD Graphics 515,windows,1,107306
143,Asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Celeron Dual,1.1,4,HDD,1024,0,Intel, HD Graphics 500,windows,2,18328
144,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2,4,HDD,1024,0,Intel, HD Graphics 520,windows,2.1,23816
145,Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,SSD,512,0,Nvidia, GeForce GTX 1050,windows,2.6,66561
146,Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,8,SSD,1024,0,Nvidia, GeForce GTX 1050,windows,2.6,47899
147,Lenovo,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,4,SSD,128,0,Intel, HD Graphics 620,windows,1.9,26533
148,MSI,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia, GeForce GTX 1060,windows,2.8,100699
149,HP,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i5,2.7,4,SSD,256,0,Intel, HD Graphics 620,windows,1.5,57649
150,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,6,SSD,256,0,AMD, Radeon 520,windows,1.9,32980
151,Lenovo,2 in 1 Convertible,14,Full HD,1,1,1080,1920,Intel,Core i3,2.4,4,SSD,256,0,Intel, HD Graphics 620,windows,1.7,33513
152,Asus,2 in 1 Convertible,13.3,Full HD,0,1,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, HD Graphics 620,windows,1.1,70063
153,Dell,2 in 1 Convertible,15.6,Full HD,0,1,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.6,55891
154,Toshiba,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2.2,4,HDD,500,0,Intel, HD Graphics 520,windows,2.1,23816
155,Asus,Notebook,15.6,Full HD,0,0,768,1366,AMD,A9-Series 9420,3,4,HDD,1024,0,AMD, Radeon R5 M420,windows,2,21472
156,Acer,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,4,SSD,256,0,Nvidia, GeForce MX150,windows,3,42890
157,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,AMD, Radeon 520,windows,2.1,38788
158,Lenovo,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,SSD,256,0,Nvidia, GeForce GTX 1050 Ti,windows,2.5,57489
159,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Celeron Dual,1.1,4,HDD,1024,0,Intel, HD Graphics 500,windows,2.1,18541
160,MSI,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia, GeForce GTX 1060,windows,2.4,95851
161,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Pentium Quad,1.1,4,HDD,1024,0,Intel, HD Graphics 505,windows,2.1,19368
162,Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,8,Hybrid,128,1024,Nvidia, GeForce GTX 1050,windows,2.6,56503
163,Acer,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Nvidia, GeForce MX150,windows,3,45501
164,HP,Notebook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,4,HDD,500,0,Intel, UHD Graphics 620,windows,1.5,40173
165,Huawei,Ultrabook,13,Full HD,1,0,1440,2160,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,windows,1.1,71875
166,HP,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,2.5,6,HDD,2048,0,AMD, Radeon 520,windows,2.7,37243
167,Lenovo,Notebook,15.6,Full HD,0,0,768,1366,AMD,A6-Series 9220,2.9,4,HDD,500,0,AMD, Radeon R4 Graphics,N/A,2.2,16464
168,Toshiba,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2.4,4,HDD,500,0,Intel, HD Graphics 620,windows,5.4,26054
169,HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Nvidia, GeForce 930MX,windows,2.5,49177
170,Dell,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2.4,8,HDD,1024,0,Intel, HD Graphics 620,windows,2.3,24456
171,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2,4,SSD,128,0,Intel, HD Graphics 520,windows,2.1,23923
172,MSI,Gaming,18.4,Full HD,0,0,1080,1920,Intel,Core i7,2.9,32,Hybrid,512,1024,Nvidia, GTX 980 SLI,windows,4.4,149131
173,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,Hybrid,128,1024,AMD, R17M-M1-70,windows,1.9,43317
174,HP,2 in 1 Convertible,13.3,4k Ultra HD,1,1,2160,3840,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.3,79867
175,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,Hybrid,256,2048,AMD, Radeon 530,linux,2,55891
